Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2016-11-04 00:00:00,2017-11-04 00:00:00,2016-11-07 00:00:00,2017-11-03 00:00:00,39.78,194.19,-154.41,2.604455,2.355619,23.71,3.125436,16.07
2002-02-04 00:00:00,2003-02-04 00:00:00,2002-02-05 00:00:00,2003-02-03 00:00:00,-67.04,-82.61,15.57,-1.076845,-1.328135,-19.76,-0.694776,-47.28
2008-02-15 00:00:00,2009-02-14 00:00:00,2008-02-19 00:00:00,2009-02-13 00:00:00,-1.54,-62.12,60.58,0.210047,-0.758077,-37.46,-0.896528,35.92
2010-10-09 00:00:00,2011-10-09 00:00:00,2010-10-12 00:00:00,2011-10-07 00:00:00,-17.61,28.4,-46.01,-1.394511,0.728343,0.85,0.143781,-18.46
2017-05-02 00:00:00,2018-05-02 00:00:00,2017-05-03 00:00:00,2018-05-01 00:00:00,34.36,118.59,-84.23,1.938411,2.042868,13.23,1.083053,21.13
2023-09-08 00:00:00,2024-09-07 00:00:00,2023-09-11 00:00:00,2024-09-06 00:00:00,25.19,127.66,-102.47,1.186217,1.876361,22.18,1.664892,3.01
2001-11-19 00:00:00,2002-11-19 00:00:00,2001-11-20 00:00:00,2002-11-18 00:00:00,-56.96,-72.0,15.04,-0.780842,-0.862473,-20.05,-0.734567,-36.91
2018-07-14 00:00:00,2019-07-14 00:00:00,2018-07-17 00:00:00,2019-07-12 00:00:00,47.62,-33.69,81.31,1.821134,-0.544983,9.32,0.66467,38.3
2003-02-13 00:00:00,2004-02-13 00:00:00,2003-02-14 00:00:00,2004-02-12 00:00:00,-4.47,95.35,-99.82,-0.001811,1.357783,39.67,2.305021,-44.14
2020-12-17 00:00:00,2021-12-17 00:00:00,2020-12-18 00:00:00,2021-12-16 00:00:00,12.48,114.07,-101.59,0.956698,1.941282,27.58,1.990509,-15.1
2012-02-14 00:00:00,2013-02-13 00:00:00,2012-02-15 00:00:00,2013-02-12 00:00:00,-2.27,-22.63,20.36,-0.293272,-0.674653,15.48,1.201416,-17.75
2007-09-05 00:00:00,2008-09-04 00:00:00,2007-09-06 00:00:00,2008-09-03 00:00:00,29.53,-66.73,96.26,1.000702,-1.288485,-11.93,-0.549254,41.46
2018-07-27 00:00:00,2019-07-27 00:00:00,2018-07-30 00:00:00,2019-07-26 00:00:00,47.62,-28.02,75.64,1.81744,-0.38061,10.01,0.704808,37.61
2004-12-01 00:00:00,2005-12-01 00:00:00,2004-12-02 00:00:00,2005-11-30 00:00:00,-9.55,81.93,-91.48,-0.713172,1.776847,6.89,0.700592,-16.44
2005-12-30 00:00:00,2006-12-30 00:00:00,2006-01-03 00:00:00,2006-12-29 00:00:00,-13.31,93.67,-106.98,-0.649089,1.629463,13.84,1.372002,-27.15
2017-09-06 00:00:00,2018-09-06 00:00:00,2017-09-07 00:00:00,2018-09-05 00:00:00,8.86,67.55,-58.69,0.761551,1.650203,19.27,1.487304,-10.41
2017-12-06 00:00:00,2018-12-06 00:00:00,2017-12-07 00:00:00,2018-12-04 00:00:00,13.84,-17.94,31.78,0.696487,-0.168099,4.21,0.347863,9.63
2019-12-30 00:00:00,2020-12-29 00:00:00,2019-12-31 00:00:00,2020-12-28 00:00:00,-50.64,119.66,-170.3,-1.935481,1.657894,17.79,0.66038,-68.43
2006-02-19 00:00:00,2007-02-19 00:00:00,2006-02-22 00:00:00,2007-02-16 00:00:00,-1.08,41.1,-42.18,0.046789,0.953306,14.82,1.508329,-15.9
2015-10-26 00:00:00,2016-10-25 00:00:00,2015-10-27 00:00:00,2016-10-24 00:00:00,-0.25,151.6,-151.85,-0.009328,2.779518,6.25,0.504801,-6.5
2006-08-03 00:00:00,2007-08-03 00:00:00,2006-08-04 00:00:00,2007-08-02 00:00:00,9.8,88.5,-78.7,0.709196,1.751483,17.25,1.553968,-7.45
2016-12-22 00:00:00,2017-12-22 00:00:00,2016-12-23 00:00:00,2017-12-21 00:00:00,34.96,79.13,-44.17,2.402715,1.611706,20.86,2.836548,14.1
2010-11-08 00:00:00,2011-11-08 00:00:00,2010-11-09 00:00:00,2011-11-07 00:00:00,-15.75,17.08,-32.83,-0.869249,0.557628,5.89,0.374667,-21.64
2015-06-22 00:00:00,2016-06-21 00:00:00,2015-06-23 00:00:00,2016-06-20 00:00:00,-2.98,127.34,-130.32,-0.248187,2.341713,0.15,0.092013,-3.13
2000-08-10 00:00:00,2001-08-10 00:00:00,2000-08-11 00:00:00,2001-08-09 00:00:00,43.85,31.51,12.34,0.870265,0.768594,-18.45,-0.806066,62.3
2012-04-27 00:00:00,2013-04-27 00:00:00,2012-04-30 00:00:00,2013-04-26 00:00:00,6.34,4.46,1.88,0.748156,0.296798,15.65,1.207465,-9.31
2002-02-07 00:00:00,2003-02-07 00:00:00,2002-02-08 00:00:00,2003-02-06 00:00:00,-49.06,-82.29,33.23,-0.552934,-1.310127,-22.07,-0.807067,-26.99
2019-08-14 00:00:00,2020-08-13 00:00:00,2019-08-15 00:00:00,2020-08-12 00:00:00,-55.1,208.45,-263.55,-2.281,2.330104,20.91,0.753413,-76.01
2014-10-21 00:00:00,2015-10-21 00:00:00,2014-10-22 00:00:00,2015-10-20 00:00:00,-0.14,57.87,-58.01,0.043882,1.614408,7.54,0.566573,-7.68
2005-01-13 00:00:00,2006-01-13 00:00:00,2005-01-14 00:00:00,2006-01-12 00:00:00,-16.24,99.4,-115.64,-1.55314,2.057279,10.85,1.055016,-27.09
